loan_amnt,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,verification_status,purpose,dti,delinq_2yrs,fico_range_low,revol_util,loan_status
40000,36 months,12.55,1339.1,B,10+ years,RENT,82800,Not Verified,debt_consolidation,17.04,0,723,49.0,Charged Off
6300,36 months,9.9,202.99,B,6 years,MORTGAGE,120400,Source Verified,credit_card,21.46,0,704,64.2,Fully Paid
4500,60 months,6.44,87.92,A,8 years,MORTGAGE,55600,Verified,home_improvement,11.9,1,757,33.8,Fully Paid
10400,36 months,10.0,335.58,B,2 years,RENT,32900,Verified,debt_consolidation,27.67,0,689,59.6,Charged Off
13500,36 months,15.61,472.02,D,3 years,OWN,173900,Verified,credit_card,2.94,0,692,17.6,Charged Off
32000,36 months,7.88,1000.99,A,10+ years,OWN,150000,Source Verified,credit_card,24.85,1,747,18.6,Fully Paid
14300,60 months,7.44,286.14,A,10+ years,MORTGAGE,52300,Not Verified,credit_card,15.93,0,734,34.5,Fully Paid
9000,36 months,6.84,277.24,A,9 years,RENT,40700,Source Verified,small_business,16.91,1,770,55.3,Fully Paid
9500,36 months,15.4,331.18,C,1 year,RENT,149300,Verified,home_improvement,5.51,0,699,33.7,Fully Paid
13200,36 months,17.55,474.24,E,10+ years,RENT,40500,Verified,debt_consolidation,40.21,1,673,83.8,Charged Off
6500,60 months,19.64,170.91,D,10+ years,MORTGAGE,63000,Not Verified,home_improvement,11.66,1,700,67.7,Charged Off
24400,60 months,12.75,552.06,C,10+ years,MORTGAGE,57100,Verified,debt_consolidation,13.98,0,682,42.8,Fully Paid
14300,36 months,13.81,487.42,C,2 years,MORTGAGE,64600,Source Verified,debt_consolidation,11.79,0,692,50.7,Fully Paid
5800,36 months,14.77,200.41,C,1 year,MORTGAGE,114100,Verified,credit_card,10.3,0,720,82.6,Charged Off
5300,36 months,10.58,172.46,B,2 years,OWN,148200,Verified,credit_card,33.05,0,706,97.6,Charged Off
16500,36 months,15.18,573.43,C,3 years,MORTGAGE,79900,Not Verified,debt_consolidation,34.73,0,701,53.7,Charged Off
7700,36 months,15.41,268.47,D,< 1 year,RENT,80600,Source Verified,other,26.43,0,707,30.4,Fully Paid
15900,36 months,22.21,608.96,E,10+ years,MORTGAGE,84700,Verified,debt_consolidation,7.64,1,684,79.3,Charged Off
22600,60 months,13.13,515.72,C,2 years,MORTGAGE,109300,Not Verified,debt_consolidation,21.0,0,690,66.7,Fully Paid
6800,36 months,12.68,228.07,C,10+ years,RENT,162600,Verified,debt_consolidation,22.74,0,683,31.2,Charged Off
14400,36 months,16.16,507.4,D,1 year,MORTGAGE,30500,Not Verified,credit_card,22.5,0,701,31.3,Charged Off
10500,60 months,7.39,209.85,A,3 years,MORTGAGE,55000,Verified,credit_card,19.77,0,756,75.1,Charged Off
18900,36 months,12.51,632.36,C,10+ years,MORTGAGE,26900,Verified,small_business,13.12,0,707,69.5,Charged Off
25100,60 months,14.86,595.28,D,3 years,MORTGAGE,85200,Verified,credit_card,26.35,0,670,,Charged Off
13200,36 months,10.67,430.09,B,10+ years,RENT,65800,Verified,major_purchase,13.9,0,694,24.7,Fully Paid
15300,36 months,22.95,591.86,F,10+ years,MORTGAGE,72600,Not Verified,credit_card,15.84,0,658,73.4,Charged Off
10600,60 months,14.93,251.78,C,9 years,MORTGAGE,76000,Verified,debt_consolidation,13.74,0,677,50.7,Charged Off
22700,60 months,16.4,556.86,D,7 years,MORTGAGE,51600,Not Verified,debt_consolidation,27.38,0,665,13.1,Charged Off
7300,60 months,10.0,155.1,B,2 years,RENT,52200,Not Verified,debt_consolidation,14.06,0,727,89.1,Charged Off
5000,60 months,12.24,111.83,C,10+ years,RENT,82300,Source Verified,debt_consolidation,18.2,0,709,28.5,Fully Paid
8500,36 months,6.8,261.68,A,6 years,OWN,65200,Not Verified,debt_consolidation,18.66,2,752,37.7,Charged Off
9200,36 months,16.13,324.04,D,2 years,OWN,69600,Source Verified,debt_consolidation,17.76,1,682,81.7,Charged Off
17200,36 months,7.46,534.71,A,3 years,MORTGAGE,52700,Not Verified,credit_card,19.9,1,730,39.0,Charged Off
7100,36 months,18.48,258.39,D,10+ years,MORTGAGE,63400,Source Verified,major_purchase,21.12,0,684,58.2,Charged Off
9900,36 months,11.72,327.5,C,9 years,RENT,16500,Not Verified,car,15.89,0,717,53.5,Charged Off
12800,36 months,14.04,437.72,C,9 years,OWN,77600,Not Verified,debt_consolidation,24.1,0,689,45.5,Charged Off
15200,36 months,6.96,469.05,A,1 year,MORTGAGE,128700,Source Verified,debt_consolidation,34.37,0,741,50.3,Fully Paid
7000,36 months,15.93,245.86,D,1 year,RENT,222100,Verified,debt_consolidation,9.09,0,675,10.1,Fully Paid
21500,36 months,19.31,791.48,D,7 years,OWN,29800,Verified,debt_consolidation,27.77,1,686,47.2,Fully Paid
18500,36 months,21.64,703.08,E,< 1 year,MORTGAGE,68700,Not Verified,credit_card,36.0,1,665,90.0,Fully Paid
7400,60 months,17.65,186.51,D,,MORTGAGE,68500,Not Verified,credit_card,12.53,0,685,57.3,Charged Off
10600,36 months,14.08,362.69,D,10+ years,MORTGAGE,125000,Not Verified,credit_card,21.39,0,708,47.2,Charged Off
10900,36 months,9.03,346.77,B,5 years,OWN,55600,Verified,major_purchase,21.49,0,709,71.0,Fully Paid
13200,36 months,15.35,459.85,D,4 years,RENT,67700,Verified,major_purchase,37.52,0,679,67.1,Charged Off
21500,60 months,15.72,519.64,D,5 years,MORTGAGE,83000,Verified,debt_consolidation,7.65,0,680,63.6,Charged Off
17800,36 months,12.79,597.95,B,3 years,MORTGAGE,12800,Not Verified,credit_card,20.69,1,715,48.2,Fully Paid
11100,36 months,9.09,353.44,B,2 years,MORTGAGE,72800,Not Verified,debt_consolidation,23.52,0,730,10.4,Fully Paid
8500,36 months,29.27,357.45,G,5 years,RENT,83800,Source Verified,debt_consolidation,17.18,0,645,49.4,Fully Paid
32100,60 months,11.81,710.97,B,2 years,MORTGAGE,47000,Source Verified,debt_consolidation,6.01,1,701,56.6,Fully Paid
9700,36 months,10.65,315.96,C,8 years,RENT,111400,Source Verified,credit_card,14.56,1,678,23.0,Fully Paid
17700,36 months,5.62,535.43,A,10+ years,RENT,77500,Verified,major_purchase,20.6,0,765,30.2,Fully Paid
22200,36 months,10.95,726.27,B,10+ years,RENT,71300,Verified,debt_consolidation,10.47,0,694,8.1,Fully Paid
16700,36 months,7.02,515.8,A,10+ years,RENT,73500,Verified,credit_card,19.16,0,738,42.7,Fully Paid
6000,36 months,13.64,204.02,C,10+ years,OWN,37600,Not Verified,medical,21.8,0,712,89.5,Charged Off
10400,36 months,12.72,349.02,C,10+ years,MORTGAGE,108600,Source Verified,debt_consolidation,9.72,0,691,40.3,Fully Paid
17100,60 months,10.58,368.22,B,5 years,OWN,120700,Not Verified,debt_consolidation,9.67,0,716,16.1,Fully Paid
8900,36 months,7.33,276.15,A,5 years,MORTGAGE,77300,Verified,debt_consolidation,22.46,0,760,83.8,Charged Off
13200,60 months,22.11,365.4,E,6 years,MORTGAGE,144300,Source Verified,small_business,11.69,0,675,79.7,Charged Off
12800,36 months,10.15,413.92,B,10+ years,MORTGAGE,46400,Source Verified,debt_consolidation,23.91,0,703,84.7,Fully Paid
34200,36 months,16.66,1213.54,D,10+ years,MORTGAGE,187500,Source Verified,debt_consolidation,24.37,1,688,76.0,Charged Off
3300,36 months,12.33,110.13,C,10+ years,MORTGAGE,42200,Not Verified,credit_card,5.1,0,683,22.9,Fully Paid
9200,36 months,11.54,303.55,C,< 1 year,MORTGAGE,58300,Source Verified,debt_consolidation,21.89,0,681,40.1,Charged Off
9400,36 months,8.42,296.39,B,10+ years,MORTGAGE,57700,Verified,debt_consolidation,22.12,1,710,54.3,Charged Off
16300,36 months,11.43,536.97,B,10+ years,OWN,56900,Verified,debt_consolidation,44.58,1,726,49.6,Fully Paid
10200,36 months,12.35,340.49,C,3 years,RENT,74900,Verified,major_purchase,17.84,0,692,60.7,Fully Paid
15100,36 months,15.01,523.52,D,10+ years,RENT,42800,Verified,debt_consolidation,18.22,0,682,70.4,Fully Paid
13000,60 months,15.35,311.66,C,10+ years,MORTGAGE,52900,Verified,debt_consolidation,28.33,1,691,68.7,Fully Paid
4300,36 months,6.88,132.54,A,10+ years,RENT,31600,Source Verified,credit_card,11.3,2,749,39.7,Fully Paid
8800,36 months,10.06,284.2,B,10+ years,MORTGAGE,16900,Verified,debt_consolidation,32.96,0,735,33.3,Fully Paid
9700,36 months,21.27,366.79,E,5 years,OWN,38100,Not Verified,debt_consolidation,7.3,0,676,27.5,Fully Paid
4900,36 months,13.39,166.02,C,6 years,OTHER,62400,Not Verified,debt_consolidation,12.12,0,681,54.3,Fully Paid
16400,36 months,19.35,604.06,E,1 year,MORTGAGE,104600,Verified,credit_card,23.29,2,677,27.3,Fully Paid
12900,60 months,13.56,297.23,C,10+ years,RENT,288200,Verified,debt_consolidation,13.69,0,696,37.5,Charged Off
10100,36 months,18.43,367.32,D,10+ years,MORTGAGE,28000,Verified,debt_consolidation,12.33,0,691,45.6,Charged Off
3500,36 months,6.54,107.34,A,5 years,RENT,29100,Source Verified,debt_consolidation,27.65,1,759,29.1,Fully Paid
5300,36 months,7.99,166.06,A,5 years,RENT,35200,Not Verified,credit_card,20.94,2,740,64.6,Charged Off
17000,36 months,15.33,592.06,D,8 years,RENT,104400,Verified,debt_consolidation,23.85,0,695,29.5,Charged Off
9100,36 months,10.41,295.39,B,2 years,MORTGAGE,44000,Source Verified,debt_consolidation,26.78,0,719,50.2,Fully Paid
13900,60 months,16.19,339.43,D,3 years,MORTGAGE,80000,Verified,credit_card,5.17,1,684,61.4,Charged Off
20000,60 months,6.24,388.89,A,5 years,RENT,47700,Verified,debt_consolidation,12.35,0,747,92.4,Fully Paid
6600,36 months,12.54,220.92,C,10+ years,RENT,59700,Source Verified,other,20.05,1,701,22.0,Fully Paid
28500,60 months,17.78,720.31,D,8 years,RENT,63700,Not Verified,debt_consolidation,30.54,0,667,76.0,Charged Off
11700,36 months,17.61,420.7,D,10+ years,RENT,76900,Source Verified,credit_card,12.84,0,716,37.9,Fully Paid
19500,36 months,11.49,642.94,C,1 year,MORTGAGE,36200,Source Verified,debt_consolidation,25.4,0,699,85.2,Charged Off
20800,36 months,14.91,720.12,C,4 years,MORTGAGE,27500,Not Verified,debt_consolidation,21.83,0,694,25.4,Fully Paid
7000,60 months,28.32,219.3,F,8 years,MORTGAGE,62300,Verified,debt_consolidation,16.4,1,649,77.1,Charged Off
30200,36 months,12.83,1015.09,C,10+ years,MORTGAGE,22600,Not Verified,debt_consolidation,37.37,0,716,34.1,Charged Off
8900,36 months,10.82,290.62,C,8 years,RENT,89300,Not Verified,debt_consolidation,15.19,0,704,74.0,Fully Paid
9000,36 months,13.05,303.46,C,7 years,MORTGAGE,25300,Not Verified,debt_consolidation,9.31,1,696,71.5,Fully Paid
9200,36 months,11.62,303.9,C,9 years,MORTGAGE,46200,Source Verified,credit_card,20.98,1,700,61.7,Charged Off
9900,60 months,7.54,198.56,A,10+ years,RENT,97300,Not Verified,credit_card,26.01,0,727,48.6,Fully Paid
10900,36 months,12.71,365.74,C,3 years,OWN,83000,Verified,car,10.84,0,701,60.8,Fully Paid
5100,36 months,19.33,187.8,E,7 years,RENT,79000,Not Verified,debt_consolidation,20.56,0,644,37.1,Charged Off
6200,60 months,10.69,133.85,C,2 years,MORTGAGE,44900,Not Verified,debt_consolidation,26.01,0,704,38.9,Charged Off
15400,36 months,11.61,508.64,C,1 year,RENT,89600,Verified,credit_card,16.43,0,701,96.6,Charged Off
23000,36 months,11.25,755.72,C,10+ years,MORTGAGE,24400,Verified,credit_card,19.93,1,702,85.1,Charged Off
14200,36 months,13.49,481.81,C,< 1 year,RENT,55400,Source Verified,debt_consolidation,17.83,1,681,8.4,Charged Off
19000,60 months,11.7,419.77,B,7 years,MORTGAGE,142200,Not Verified,debt_consolidation,31.22,2,714,33.1,Charged Off
6000,36 months,15.51,209.49,C,10+ years,MORTGAGE,188600,Verified,debt_consolidation,5.62,1,693,11.7,Fully Paid
9200,36 months,12.58,308.13,C,10+ years,MORTGAGE,77900,Not Verified,other,23.0,0,702,71.1,Charged Off
10400,60 months,15.57,250.54,D,2 years,RENT,61700,Not Verified,debt_consolidation,11.0,0,673,,Charged Off
11100,60 months,10.64,239.35,B,10+ years,RENT,41300,Verified,credit_card,16.68,0,706,66.8,Charged Off
7000,36 months,16.08,246.38,D,5 years,RENT,152200,Not Verified,debt_consolidation,15.67,1,693,57.3,Fully Paid
18900,36 months,18.5,688.03,D,5 years,RENT,36500,Not Verified,debt_consolidation,17.17,0,687,44.3,Charged Off
3800,36 months,15.18,132.06,C,4 years,MORTGAGE,86500,Source Verified,credit_card,21.58,0,702,32.6,Charged Off
24200,36 months,20.8,909.25,E,10+ years,RENT,53200,Source Verified,other,17.11,1,668,63.9,Fully Paid
22300,60 months,15.74,539.22,C,8 years,MORTGAGE,93000,Source Verified,small_business,22.19,2,712,51.8,Charged Off
12400,36 months,12.47,414.65,B,5 years,RENT,92600,Source Verified,debt_consolidation,27.44,0,716,85.0,Charged Off
15700,36 months,16.36,554.76,D,2 years,MORTGAGE,52900,Not Verified,debt_consolidation,25.51,0,683,18.6,Fully Paid
6600,36 months,18.31,239.63,D,< 1 year,RENT,51200,Not Verified,debt_consolidation,23.53,1,672,59.7,Fully Paid
6400,36 months,18.55,233.14,E,1 year,MORTGAGE,20100,Source Verified,credit_card,24.78,1,669,37.2,Charged Off
6700,36 months,9.73,215.34,B,4 years,RENT,64800,Not Verified,credit_card,12.54,1,738,81.9,Charged Off
9100,36 months,25.51,364.27,G,7 years,MORTGAGE,73000,Verified,home_improvement,15.68,0,641,47.7,Charged Off
13500,36 months,14.72,466.13,C,2 years,RENT,217500,Verified,credit_card,8.66,0,698,,Charged Off
22600,36 months,21.05,852.04,E,1 year,RENT,15800,Source Verified,debt_consolidation,14.69,0,662,48.0,Charged Off
8300,36 months,12.42,277.35,C,10+ years,MORTGAGE,86900,Source Verified,debt_consolidation,20.28,1,702,24.5,Fully Paid
10300,60 months,18.13,262.28,D,10+ years,RENT,69900,Not Verified,debt_consolidation,14.37,0,677,66.6,Charged Off
25200,36 months,12.37,841.46,C,4 years,MORTGAGE,85400,Not Verified,debt_consolidation,6.72,1,674,47.7,Charged Off
26700,36 months,7.49,830.41,A,7 years,MORTGAGE,72300,Source Verified,debt_consolidation,16.94,0,766,30.8,Fully Paid
11700,60 months,16.99,290.71,D,2 years,RENT,106600,Not Verified,credit_card,6.54,0,687,65.7,Charged Off
21500,60 months,11.77,475.76,B,10+ years,RENT,56300,Verified,debt_consolidation,38.7,0,728,34.6,Fully Paid
7900,60 months,13.42,181.45,C,10+ years,RENT,74300,Source Verified,debt_consolidation,21.45,1,717,32.7,Fully Paid
17400,60 months,9.43,364.84,B,10+ years,MORTGAGE,97300,Verified,other,22.04,0,732,44.3,Charged Off
11600,60 months,14.33,271.9,C,10+ years,RENT,32400,Source Verified,other,20.1,2,716,87.8,Charged Off
14900,36 months,7.41,462.87,A,7 years,RENT,89500,Not Verified,credit_card,6.63,1,741,43.9,Fully Paid
10700,36 months,21.85,407.81,E,10+ years,MORTGAGE,49600,Not Verified,credit_card,17.2,0,671,44.6,Fully Paid
15800,60 months,21.25,429.67,E,1 year,RENT,72100,Not Verified,debt_consolidation,6.91,0,665,12.9,Charged Off
26500,60 months,18.32,677.55,E,10+ years,MORTGAGE,47000,Source Verified,debt_consolidation,26.14,1,659,69.6,Charged Off
16500,36 months,11.6,544.89,B,7 years,MORTGAGE,59800,Source Verified,debt_consolidation,34.79,0,728,25.3,Charged Off
13600,60 months,11.84,301.43,B,10+ years,MORTGAGE,51400,Source Verified,other,20.07,0,691,78.1,Charged Off
16500,36 months,20.06,613.7,D,3 years,MORTGAGE,50900,Source Verified,debt_consolidation,15.62,1,680,45.5,Fully Paid
10200,60 months,14.2,238.4,C,2 years,MORTGAGE,36900,Not Verified,car,25.57,0,700,41.5,Fully Paid
6300,36 months,23.63,245.94,F,10+ years,MORTGAGE,88500,Source Verified,medical,8.86,0,661,58.7,Charged Off
14000,36 months,18.58,510.22,D,< 1 year,MORTGAGE,41500,Verified,debt_consolidation,17.3,0,678,23.7,Charged Off
8100,36 months,9.31,258.75,B,10+ years,RENT,98800,Source Verified,other,24.38,0,702,42.1,Fully Paid
11800,36 months,6.57,362.03,A,10+ years,MORTGAGE,84600,Not Verified,debt_consolidation,30.12,0,743,70.0,Charged Off
26000,36 months,11.5,857.38,B,10+ years,MORTGAGE,48400,Verified,debt_consolidation,29.59,0,711,56.0,Charged Off
5900,36 months,13.72,200.85,C,< 1 year,RENT,49300,Verified,home_improvement,19.75,0,703,,Fully Paid
5200,36 months,6.86,160.23,A,10+ years,MORTGAGE,27400,Verified,small_business,12.04,0,735,45.8,Fully Paid
12900,36 months,20.43,482.24,E,< 1 year,RENT,101100,Source Verified,other,7.03,0,673,84.1,Charged Off
8900,36 months,22.01,339.94,E,4 years,RENT,92700,Source Verified,other,14.81,0,670,19.2,Fully Paid
5200,36 months,11.98,172.66,C,1 year,RENT,89600,Not Verified,debt_consolidation,16.46,0,704,29.8,Fully Paid
5300,36 months,18.23,192.22,D,10+ years,RENT,116400,Source Verified,credit_card,7.19,0,686,56.1,Charged Off
14200,36 months,11.11,465.63,B,3 years,MORTGAGE,67100,Not Verified,credit_card,11.82,0,713,59.3,Charged Off
11000,60 months,6.8,216.78,A,10+ years,RENT,37900,Verified,credit_card,10.66,0,726,59.5,Fully Paid
17300,60 months,15.92,419.97,D,10+ years,RENT,111300,Verified,credit_card,31.87,0,671,53.4,Charged Off
18900,36 months,15.88,663.35,D,4 years,MORTGAGE,51700,Verified,medical,18.51,0,658,57.9,Charged Off
17500,36 months,7.44,543.88,A,10+ years,RENT,89200,Not Verified,credit_card,38.1,0,756,74.3,Charged Off
8500,36 months,27.96,351.41,G,10+ years,MORTGAGE,186100,Not Verified,credit_card,15.74,0,654,24.8,Fully Paid
25700,36 months,9.6,824.45,B,10+ years,RENT,91700,Verified,credit_card,36.6,1,717,28.8,Charged Off
12900,60 months,15.76,312.06,D,10+ years,MORTGAGE,32300,Source Verified,medical,20.15,0,673,28.0,Charged Off
38100,36 months,24.25,1499.78,F,8 years,MORTGAGE,174500,Source Verified,debt_consolidation,29.25,0,658,70.1,Charged Off
15000,36 months,7.71,468.04,A,5 years,RENT,54200,Source Verified,debt_consolidation,5.78,0,760,80.7,Fully Paid
7400,36 months,15.58,258.63,C,9 years,RENT,170900,Source Verified,debt_consolidation,28.41,0,713,48.8,Charged Off
7900,36 months,14.19,270.73,D,7 years,MORTGAGE,146700,Verified,home_improvement,11.47,1,696,9.8,Charged Off
15300,36 months,6.02,465.59,A,3 years,RENT,45000,Source Verified,debt_consolidation,21.3,0,745,41.1,Fully Paid
15600,60 months,12.31,349.46,C,3 years,MORTGAGE,93900,Verified,medical,14.62,0,680,74.0,Fully Paid
4000,60 months,11.8,88.57,B,3 years,OWN,82100,Verified,small_business,18.61,0,713,93.4,Charged Off
25000,36 months,20.46,934.96,E,7 years,MORTGAGE,18000,Verified,debt_consolidation,29.76,0,675,76.9,Fully Paid
7500,36 months,12.63,251.37,C,2 years,RENT,35600,Not Verified,debt_consolidation,12.53,0,685,64.1,Fully Paid
10200,36 months,9.77,328.02,B,4 years,MORTGAGE,62400,Source Verified,home_improvement,8.48,0,688,72.5,Fully Paid
10200,36 months,19.67,377.36,E,2 years,MORTGAGE,72000,Not Verified,home_improvement,8.52,1,645,50.8,Charged Off
14100,36 months,15.84,494.6,C,1 year,MORTGAGE,118000,Verified,credit_card,12.43,0,682,43.9,Fully Paid
23300,36 months,14.38,800.65,D,8 years,RENT,75100,Verified,debt_consolidation,18.96,1,666,76.3,Charged Off
6700,36 months,22.83,258.76,E,10+ years,MORTGAGE,42000,Source Verified,car,8.26,0,665,40.3,Charged Off
9400,36 months,15.13,326.45,D,< 1 year,RENT,96000,Verified,debt_consolidation,13.24,0,687,31.2,Charged Off
17700,60 months,13.41,406.45,C,10+ years,OWN,15200,Source Verified,home_improvement,18.98,0,689,34.4,Fully Paid
12500,60 months,8.12,254.17,A,4 years,RENT,59800,Source Verified,medical,17.63,1,757,42.1,Fully Paid
8200,36 months,7.1,253.57,A,< 1 year,OWN,96800,Source Verified,debt_consolidation,35.51,0,743,12.0,Fully Paid
24200,60 months,14.55,570.02,C,3 years,MORTGAGE,85300,Source Verified,debt_consolidation,5.22,0,717,17.2,Fully Paid
6900,60 months,20.46,184.58,D,7 years,MORTGAGE,71600,Not Verified,debt_consolidation,24.81,0,697,17.8,Charged Off
5000,36 months,10.62,162.8,B,7 years,RENT,101800,Not Verified,debt_consolidation,33.08,0,717,67.4,Charged Off
9700,60 months,11.0,210.9,B,3 years,RENT,78800,Not Verified,credit_card,12.38,0,706,65.8,Charged Off
9800,36 months,24.66,387.89,F,10+ years,MORTGAGE,44100,Not Verified,credit_card,22.52,1,654,36.0,Charged Off
27800,36 months,12.6,931.34,C,9 years,MORTGAGE,12000,Source Verified,debt_consolidation,23.05,0,711,40.6,Charged Off
9000,36 months,17.62,323.66,D,10+ years,MORTGAGE,12000,Not Verified,debt_consolidation,14.39,0,706,62.6,Fully Paid
9200,36 months,13.93,314.12,C,,MORTGAGE,22300,Source Verified,debt_consolidation,17.28,0,676,11.4,Fully Paid
4100,36 months,18.11,148.45,D,10+ years,MORTGAGE,20700,Verified,debt_consolidation,27.22,1,676,31.4,Charged Off
12600,36 months,17.5,452.37,D,4 years,RENT,61300,Source Verified,debt_consolidation,23.67,1,669,44.2,Charged Off
10900,36 months,20.0,405.08,E,10+ years,MORTGAGE,84300,Verified,debt_consolidation,20.52,0,675,87.7,Charged Off
9700,36 months,10.01,313.04,B,1 year,RENT,22100,Not Verified,home_improvement,29.28,1,737,51.9,Charged Off
9300,60 months,12.89,211.08,C,10+ years,RENT,31600,Verified,credit_card,20.59,1,692,52.5,Charged Off
14000,36 months,10.64,455.96,B,5 years,OWN,159200,Verified,debt_consolidation,22.94,1,718,66.6,Charged Off
7400,60 months,19.43,193.72,E,8 years,MORTGAGE,44100,Source Verified,debt_consolidation,25.83,0,682,42.2,Charged Off
6900,60 months,14.97,164.04,C,2 years,RENT,18500,Source Verified,debt_consolidation,39.63,0,704,65.2,Fully Paid
6900,60 months,8.89,142.86,A,10+ years,MORTGAGE,47300,Verified,major_purchase,32.7,1,758,73.4,Fully Paid
6800,60 months,6.87,134.23,A,10+ years,RENT,47700,Not Verified,debt_consolidation,15.71,0,767,62.1,Fully Paid
10900,36 months,14.97,377.69,D,2 years,RENT,91400,Source Verified,debt_consolidation,9.37,0,681,79.8,Charged Off
17000,36 months,6.13,518.17,A,10+ years,RENT,26500,Not Verified,debt_consolidation,6.72,0,750,38.5,Fully Paid
12800,60 months,14.17,298.96,C,6 years,MORTGAGE,288600,Not Verified,home_improvement,9.28,0,688,40.6,Fully Paid
12300,36 months,10.77,401.35,B,6 years,OWN,96100,Verified,debt_consolidation,11.96,1,731,68.0,Fully Paid
38200,36 months,10.61,1243.58,B,7 years,MORTGAGE,54200,Not Verified,debt_consolidation,23.71,0,715,73.2,Fully Paid
17400,36 months,10.55,565.95,B,10+ years,RENT,104400,Not Verified,debt_consolidation,9.62,0,709,38.5,Fully Paid
40000,60 months,23.11,1130.15,F,10+ years,RENT,50700,Not Verified,small_business,8.04,0,665,52.5,Charged Off
27100,36 months,10.9,885.94,B,10+ years,MORTGAGE,32900,Verified,credit_card,6.0,0,733,82.6,Fully Paid
5800,36 months,10.03,187.23,B,9 years,MORTGAGE,76600,Verified,major_purchase,25.1,0,698,61.9,Charged Off
9900,36 months,8.09,310.64,A,10+ years,OWN,138800,Not Verified,debt_consolidation,27.66,1,734,27.7,Fully Paid
8100,36 months,10.27,262.39,B,10+ years,MORTGAGE,42300,Not Verified,debt_consolidation,21.03,0,700,40.0,Fully Paid
10600,36 months,19.06,388.88,E,2 years,MORTGAGE,70600,Source Verified,debt_consolidation,23.35,0,680,43.2,Charged Off
4800,36 months,18.05,173.65,E,< 1 year,RENT,60300,Not Verified,debt_consolidation,12.5,0,672,86.6,Charged Off
9300,36 months,13.23,314.39,C,8 years,MORTGAGE,105300,Source Verified,debt_consolidation,20.88,1,702,41.5,Charged Off
9100,36 months,12.54,304.6,C,10+ years,RENT,25700,Not Verified,debt_consolidation,9.55,1,695,31.1,Fully Paid
12200,36 months,18.83,446.16,E,6 years,MORTGAGE,59700,Source Verified,debt_consolidation,26.98,0,655,79.0,Charged Off
10300,36 months,10.57,335.12,B,4 years,MORTGAGE,15400,Verified,home_improvement,15.53,1,716,83.7,Fully Paid
